V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102
0,-9.528,-9.545,-9.534,-9.493,-9.421,-9.317,-9.179,-9.008,-8.806,-8.573,-8.313,-8.029,-7.724,-7.402,-7.069,-6.728,-6.385,-6.045,-5.711,-5.389,-5.082,-4.794,-4.527,-4.282,-4.063,-3.869,-3.699,-3.553,-3.429,-3.323,-3.234,-3.156,-3.087,-3.02,-2.952,-2.877,-2.791,-2.689,-2.567,-2.421,-2.249,-2.047,-1.815,-1.552,-1.258,-0.934,-0.584,-0.21,0.184,0.593,1.011,1.433,1.852,2.261,2.655,3.026,3.368,3.677,3.947,4.174,4.354,4.486,4.568,4.601,4.584,4.52,4.412,4.264,4.08,3.866,3.628,3.372,3.105,2.833,2.563,2.303,2.058,1.833,1.635,1.468,1.336,1.242,1.188,1.177,1.208,1.283,1.399,1.555,1.749,1.978,2.239,2.526,2.837,3.164,3.505,3.852,4.2,4.544,4.878,5.197,NA
0,3.822,4.597,5.321,5.993,6.61,7.172,7.678,8.13,8.527,8.872,9.166,9.412,9.613,9.77,9.886,9.964,10.007,10.017,9.996,9.944,9.863,9.754,9.615,9.447,9.248,9.017,8.751,8.448,8.106,7.723,7.296,6.822,6.302,5.734,5.117,4.453,3.744,2.992,2.201,1.376,0.523,-0.351,-1.236,-2.126,-3.009,-3.875,-4.714,-5.515,-6.267,-6.96,-7.583,-8.127,-8.583,-8.945,-9.206,-9.361,-9.407,-9.342,-9.167,-8.883,-8.493,-8.002,-7.418,-6.746,-5.998,-5.182,-4.31,-3.394,-2.445,-1.476,-0.498,0.476,1.435,2.368,3.265,4.119,4.92,5.663,6.344,6.957,7.503,7.978,8.385,8.724,9,9.214,9.373,9.48,9.543,9.567,9.558,9.521,9.464,9.392,9.31,9.222,9.132,9.044,8.961,8.883,NA
0,-10.259,-10.487,-10.656,-10.77,-10.831,-10.841,-10.806,-10.727,-10.609,-10.456,-10.27,-10.055,-9.814,-9.549,-9.263,-8.957,-8.634,-8.295,-7.942,-7.574,-7.195,-6.804,-6.403,-5.993,-5.574,-5.148,-4.717,-4.281,-3.841,-3.399,-2.955,-2.511,-2.067,-1.623,-1.181,-0.74,-0.299,0.141,0.582,1.026,1.472,1.924,2.383,2.851,3.332,3.825,4.334,4.86,5.406,5.972,6.558,7.166,7.794,8.442,9.107,9.788,10.48,11.181,11.885,12.588,13.284,13.966,14.628,15.264,15.866,16.429,16.945,17.408,17.814,18.155,18.428,18.629,18.756,18.804,18.774,18.665,18.477,18.212,17.872,17.459,16.977,16.431,15.825,15.163,14.453,13.698,12.906,12.082,11.232,10.363,9.48,8.589,7.697,6.809,5.931,5.068,4.227,3.412,2.628,1.881,NA
0,-10.907,-10.814,-10.72,-10.625,-10.533,-10.445,-10.362,-10.283,-10.21,-10.141,-10.075,-10.009,-9.941,-9.868,-9.786,-9.692,-9.582,-9.452,-9.298,-9.117,-8.907,-8.663,-8.385,-8.072,-7.721,-7.335,-6.914,-6.46,-5.975,-5.464,-4.93,-4.38,-3.817,-3.249,-2.682,-2.121,-1.575,-1.05,-0.551,-0.085,0.342,0.726,1.061,1.346,1.576,1.75,1.868,1.929,1.934,1.886,1.788,1.643,1.457,1.235,0.982,0.706,0.412,0.11,-0.195,-0.494,-0.781,-1.048,-1.29,-1.501,-1.675,-1.808,-1.897,-1.939,-1.933,-1.879,-1.778,-1.63,-1.439,-1.208,-0.941,-0.644,-0.322,0.019,0.373,0.734,1.095,1.45,1.794,2.12,2.424,2.702,2.949,3.163,3.34,3.48,3.581,3.643,3.665,3.65,3.598,3.512,3.393,3.246,3.073,2.879,NA
0,1.017,1.852,2.643,3.378,4.047,4.64,5.147,5.563,5.88,6.093,6.2,6.2,6.092,5.879,5.564,5.154,4.654,4.074,3.422,2.711,1.953,1.159,0.344,-0.481,-1.3,-2.1,-2.87,-3.597,-4.269,-4.877,-5.412,-5.864,-6.229,-6.501,-6.676,-6.751,-6.727,-6.603,-6.381,-6.062,-5.65,-5.149,-4.564,-3.9,-3.162,-2.357,-1.491,-0.571,0.397,1.404,2.445,3.51,4.592,5.684,6.775,7.857,8.921,9.957,10.954,11.904,12.795,13.617,14.36,15.014,15.568,16.015,16.346,16.554,16.633,16.578,16.386,16.056,15.588,14.984,14.249,13.386,12.405,11.314,10.123,8.843,7.489,6.072,4.608,3.11,1.593,0.072,-1.44,-2.931,-4.386,-5.797,-7.152,-8.443,-9.662,-10.804,-11.865,-12.841,-13.731,-14.534,-15.249,-15.88,NA
0,-0.882,-0.789,-0.732,-0.707,-0.712,-0.744,-0.8,-0.874,-0.963,-1.062,-1.165,-1.269,-1.37,-1.463,-1.544,-1.612,-1.665,-1.7,-1.718,-1.718,-1.702,-1.671,-1.627,-1.572,-1.51,-1.443,-1.373,-1.303,-1.235,-1.172,-1.113,-1.06,-1.012,-0.968,-0.928,-0.888,-0.847,-0.801,-0.748,-0.684,-0.607,-0.514,-0.402,-0.271,-0.119,0.053,0.245,0.453,0.676,0.91,1.148,1.388,1.622,1.844,2.048,2.228,2.378,2.492,2.566,2.596,2.579,2.513,2.398,2.234,2.024,1.769,1.475,1.147,0.789,0.409,0.013,-0.391,-0.797,-1.197,-1.584,-1.953,-2.297,-2.612,-2.894,-3.139,-3.346,-3.511,-3.636,-3.72,-3.764,-3.77,-3.74,-3.677,-3.584,-3.463,-3.32,-3.156,-2.975,-2.78,-2.574,-2.36,-2.14,-1.915,-1.687,-1.458,NA
0,1.601,0.633,-0.375,-1.416,-2.482,-3.568,-4.664,-5.764,-6.862,-7.95,-9.022,-10.073,-11.096,-12.088,-13.043,-13.958,-14.828,-15.653,-16.428,-17.152,-17.825,-18.444,-19.01,-19.521,-19.98,-20.385,-20.738,-21.039,-21.29,-21.491,-21.644,-21.75,-21.81,-21.825,-21.797,-21.725,-21.612,-21.457,-21.26,-21.023,-20.746,-20.427,-20.068,-19.667,-19.226,-18.742,-18.217,-17.651,-17.042,-16.391,-15.698,-14.965,-14.192,-13.379,-12.529,-11.643,-10.724,-9.775,-8.797,-7.796,-6.773,-5.734,-4.683,-3.625,-2.563,-1.504,-0.451,0.588,1.61,2.608,3.578,4.513,5.41,6.262,7.064,7.812,8.502,9.128,9.687,10.175,10.589,10.927,11.186,11.365,11.464,11.482,11.421,11.283,11.07,10.786,10.437,10.028,9.567,9.06,8.518,7.948,7.362,6.768,6.179,5.605,NA
0,-5.58,-4.845,-4.094,-3.332,-2.563,-1.79,-1.016,-0.244,0.522,1.282,2.033,2.772,3.498,4.21,4.906,5.583,6.24,6.877,7.49,8.077,8.636,9.166,9.663,10.124,10.548,10.931,11.27,11.563,11.806,11.999,12.137,12.219,12.243,12.21,12.117,11.965,11.755,11.489,11.167,10.793,10.371,9.904,9.396,8.854,8.281,7.685,7.07,6.442,5.808,5.173,4.542,3.921,3.313,2.724,2.155,1.61,1.091,0.6,0.136,-0.3,-0.709,-1.091,-1.448,-1.781,-2.092,-2.384,-2.658,-2.916,-3.16,-3.392,-3.611,-3.82,-4.019,-4.206,-4.381,-4.544,-4.692,-4.822,-4.932,-5.019,-5.078,-5.107,-5.101,-5.055,-4.967,-4.831,-4.645,-4.405,-4.108,-3.753,-3.339,-2.864,-2.33,-1.739,-1.094,-0.398,0.343,1.124,1.936,2.773,NA
0,9.279,9.555,9.815,10.057,10.278,10.473,10.642,10.781,10.89,10.968,11.014,11.029,11.013,10.969,10.898,10.802,10.684,10.547,10.394,10.229,10.055,9.876,9.695,9.516,9.341,9.173,9.014,8.867,8.733,8.614,8.511,8.423,8.351,8.295,8.253,8.224,8.208,8.202,8.204,8.213,8.225,8.239,8.252,8.262,8.265,8.26,8.245,8.216,8.173,8.112,8.034,7.935,7.816,7.676,7.513,7.329,7.124,6.897,6.651,6.388,6.108,5.815,5.512,5.201,4.886,4.571,4.26,3.956,3.665,3.39,3.136,2.905,2.702,2.529,2.389,2.284,2.214,2.182,2.185,2.224,2.295,2.396,2.523,2.672,2.838,3.014,3.195,3.374,3.544,3.698,3.828,3.929,3.994,4.015,3.99,3.911,3.776,3.582,3.326,3.007,NA
0,9.662,9.074,8.439,7.765,7.062,6.339,5.607,4.874,4.151,3.447,2.771,2.131,1.535,0.989,0.499,0.07,-0.295,-0.593,-0.825,-0.991,-1.091,-1.131,-1.115,-1.048,-0.937,-0.79,-0.616,-0.424,-0.223,-0.023,0.164,0.331,0.466,0.562,0.609,0.601,0.53,0.392,0.182,-0.102,-0.461,-0.896,-1.405,-1.983,-2.628,-3.331,-4.087,-4.885,-5.717,-6.572,-7.437,-8.301,-9.151,-9.974,-10.758,-11.489,-12.156,-12.748,-13.254,-13.665,-13.973,-14.171,-14.255,-14.221,-14.068,-13.794,-13.403,-12.897,-12.28,-11.559,-10.741,-9.834,-8.847,-7.79,-6.672,-5.505,-4.298,-3.061,-1.805,-0.54,0.727,1.985,3.228,4.447,5.637,6.79,7.903,8.969,9.983,10.942,11.842,12.679,13.449,14.15,14.778,15.33,15.804,16.197,16.507,16.732,NA
